id_persona|fecha_relevamiento|fecha_actualizacion|tecnologia_pc_casa|tecnologia_pc_trabajo|tecnologia_pc_universidad|tecnologia_pc_otro_lugar|tecnologia_int_casa|tecnologia_int_trabajo|tecnologia_int_universidad|tecnologia_int_movil|tecnologia_int_otro_lugar|deportes|deportes_universidad|deportes_gimnasio|deportes_particular|deportes_otro_lugar|deportes_basquet|deportes_futbol|deportes_gimnasia|deportes_handball|deportes_natacion|deportes_tenis|deportes_voley|deportes_otros|nivel_idioma_ingles|nivel_idioma_aleman|nivel_idioma_frances|nivel_idioma_italiano|nivel_idioma_portugues|nivel_idioma_chino|idioma_otro|nivel_idioma_otro
54685|2022-11-22|2023-08-23|S|N|N|N|S|N|N|N|N|S|S|N|N|S|S|S|N|N|N|N|N|N|Bueno|||||||
53510|2017-04-01|2017-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52243|2015-12-02|2016-02-25|S|N|N|N|S|N|N|N|N|S|N|N|N|S|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
51219|2021-03-22|2021-03-22|S|S|N|N|S|S|N|N|N|S|N|S|N|N|N|N|S|N|N|N|N|S|Basico||||Basico|||
57147|2022-08-08|2024-02-04|S|N|N|N|S|N|N|N|N|S|N|N|S|N|N|N|N|N|N|N|S|N|Muy bueno||||||chino|
54849|2020-02-01|2020-02-01|S|N|N|N|S|N|N|N|S|S|N|N|S|S|N|S|N|S|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
50681|2014-02-19|2014-02-19|S|N|N|N|S|N|N|N|N|S|S|N|N|S|N|S|N|N|N|N|N|N|Basico|||||||
50944|2006-04-21|2006-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
50223|2021-04-30|2021-04-30|S|S|S|S|S|S|S|N|S|S|N|S|S|N|N|N|S|N|N|N|N|S|Muy bueno|Basico|Desconoce||Desconoce|||
19438|2014-12-18|2024-08-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
53246|2021-08-10|2022-02-01|S|N|S|S|S|N|N|N|N|S|S|N|S|N|N|S|N|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
56940|2022-11-14|2024-07-31|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
78404|2023-02-06|2024-08-01|N|N|N|S|S|N|N|S|S|S|N|S|N|N|N|N|N|N|N|N|N|S|Bueno|||||||
103637|2024-01-29|2024-01-29|S|N|N|N|S|N|N|S|N|S|N|N|S|N|N|S|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
48805|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
50401|2002-04-17|2002-04-17|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
105148|2024-04-18|2024-04-18|S|N|N|S|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|||||Desconoce||
79028|2023-02-23|2024-03-10|S|N|N|S|S|S|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
48673|2005-03-04|2005-03-08|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
104452|2024-03-11|2024-03-11||||||||||||||||||||||||||||||
51091|2010-05-25|2010-05-25|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
48643|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
56133|2021-07-27|2022-02-05|S|N|N|N|S|N|N|N|N|S|N|N|S|N|S|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Basico|||
24148|2022-03-30|2023-09-04|S|N|S|N|S|S|N|N|N|S|N|N|N|S|S|S|N|N|N|N|S|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
57399|2022-10-31|2022-11-09|S|N|N|N|S|N|N|N|N|S|N|S|N|S|N|S|S|N|S|N|S|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
52883|2017-05-03|2017-10-02|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
52042|2021-08-12|2023-06-15|S|S|N|N|S|S|N|N|N|S|N|S|N|S|S|N|N|N|N|N|N|S|Muy bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
5914|2021-01-05|2022-08-03|S|N|N|N|S|N|S|N|N|S|S|N|N|N|S|N|N|N|N|N|S|N|Muy bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
17284|2022-04-04|2022-04-04|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico||Basico|Desconoce|Desconoce|||
67596|2022-12-01|2023-12-11|S|N|N|N|S|N|N|N|N|S|N|S|N|S|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
95868|2022-12-21|2024-03-28|S|N|S|N|S|N|S|S|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Basico|||
49076|2018-11-12|2018-11-12|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
50725|2003-04-21|2003-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
47836|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
49399|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
89732|2023-08-08|2024-01-08|S|N|N|N|S|N|N|S|N|S|N|S|N|S|N|N|N|N|N|N|S|N|Muy bueno|Desconoce|Bueno|Desconoce|Desconoce|Desconoce||
90085|2023-08-30|2023-08-30|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
55000|2022-09-26|2023-08-23|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|||||||
52544|2017-03-06|2017-04-06|S|N|N|N|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Basico|Desconoce|Desconoce|||
54848|2019-07-12|2019-08-16|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|||||||
57326|2022-09-01|2023-12-04|S|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|||||||
47992|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
55737|2021-02-27|2021-03-15|S|N|N|N|S|N|N|N|N|S|N|N|S|S|N|N|N|N|N|N|N|S|Basico|||||||
48151|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
56609|2022-03-21|2023-08-08|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
53717|2022-02-04|2024-03-05|S|N|N|S|S|N|N|N|S|S|S|S|N|S|S|N|N|N|N|N|S|S|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
57347|2022-09-08|2023-02-02|S|N|N|N|S|N|N|N|N|S|N|N|N|S|N|S|N|N|N|N|N|N|Basico|||||||
57310|2022-08-30|2022-08-30|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
49750|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
48443|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
48788|2009-02-20|2009-06-16|S|S|N|N|S|S|N|N|N|S|N|N|N|S|N|N|S|N|N|N|N|S|Basico|||||||
53483|2017-02-06|2018-03-14|S|N|S|S|S|S|S|N|S|S|S|S|S|S|S|S|N|N|N|N|N|N|Basico|||||||
52395|2022-06-28|2022-06-28|S|S|N|N|S|S|S|N|N|S|N|S|N|N|N|S|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Bueno|Bueno|||
48689|2004-02-26|2004-02-26|N|N|N|N|N|N|N|N|N|S|N|N|S|N|N|S|N|N|N|N|N|N||||||||
55114|2022-11-02|2023-11-13|S|N|N|S|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
79027|2023-02-23|2023-02-23|S|S|N|N|S|S|N|S|N|S|N|S|N|N|N|S|N|N|N|N|N|N||||||||
