nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Licenciatura en Ciencias Físicas|204|1995|4080|Teoría de la Relatividad|||N
Licenciatura en Ciencias Físicas|204|1995|4081|Electrónica|||N
Licenciatura en Ciencias Físicas|204|1995|4088|Sobre Complejidad y Matemática Elemental|||N
Licenciatura en Ciencias Físicas|204|2003|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0058|Física I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0145|Algebra I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0040|Inglés I|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0059|Física II|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0060|Física Experimental I|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0125|Algebra Lineal|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0041|Inglés II|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0061|Física III|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0062|Física Experimental II|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|3019|Introducción a la Física del Estado Sólido|2|1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|2003|3048|Termodinámica de los Diagramas de Fase|2|1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|2003|3068|Tópicos en Física de Metales y Aleaciones|2|1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|2003|3076|Paleoclima, Paleoambiente y Magnetismo|2|1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|2003|0045|Cálculo Numérico|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0063|Física IV|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0064|Física Experimental III|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0065|Estructura de la Materia|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0066|Mecánica|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0067|Variable Compleja|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0068|Termofísica|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0069|Física Experimental IV|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0070|Métodos Matemáticos de la Física|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0071|Electromagnetismo|4|1er Cuatrimestre|S
